1	1	2
2	2	3
3	3	2
4	4	2
5	1	4
6	1	4
7	2	4
8	3	6
9	3	4
10	4	4
11	4	4
12	3	4
13	2	4
14	1	4
15	2	4
16	4	4
17	4	4
18	2	4
19	3	4
20	1	4
21	1	4
22	2	4
23	2	4
24	3	5
25	3	8
26	4	3
27	3	2
28	2	4
29	1	2
30	3	2
31	3	2
32	1	3
33	4	5
34	4	5
35	2	2
36	3	5
37	1	4
38	3	6
39	2	5
40	3	2
41	1	3
42	4	2
43	4	2
44	3	5
45	2	2
46	3	3
47	1	2
48	1	6
49	1	5
50	4	2
51	3	2
52	2	3
53	1	6
54	2	7
55	2	3
56	4	5
57	4	5
58	1	4
59	2	7
60	3	5
61	4	2
62	2	9
63	4	2
64	1	4
65	3	5
66	2	4
67	4	2
68	1	2
69	2	6
70	4	5
71	4	4
72	2	2
73	1	2
74	1	4
75	3	5
